Village_Name,Hospital_Count,Pond_Count
Palasbana,0,38
Palhea,0,1
Palmi,0,1
Palnia,0,3
Palu,0,1
Panchet CT,1,0
Panchkatiya,0,12
Panchkatiyabazar,0,3
Pandanatad,0,0
Pandari,0,0
Pandeni Bedo,0,1
Pandnatanr,0,0
Pandriya,0,5
Panduki,0,1
Pandwa,0,0
Panki,1,0
Paraliya,0,14
Paranpur,0,0
Parasbani,0,0
Parasnath Hill,0,2
Paraswar,0,0
Parbatpur,0,1
Parej,0,1
Parerbathan,0,2
Pareya Hat,2,0
Parhepat,0,0
Parsa,2,0
Parsi,0,0
Pasia,0,0
Pata Guira,0,0
Patabari,1,0
Patamda,0,1
Patamdaga,0,1
Path,0,1
Patharia,0,14
Pathria,0,1
Patki,0,0
Patlohara,0,3
Patna,0,16
Patnibana,0,0
Patpur,1,0
Patra CT,0,9
Patratu,0,3
Patsar,0,0
Patwabad,0,0
Peska,0,0
Petari,0,0
Peteta,0,1
Pharia Bazar,0,2
Phasia,1,0
Phatehpur,0,0
Phudkipur,0,2
Phuibhanga,0,6
Phukbandi,0,2
Phul Bag,0,1
Phulchi,0,0
Phuljharia,0,0
Phusro,4,12
Piadapur,0,1
Pichhri,0,4
Pindarkam,0,0
Pindarkom,0,3
Piparjuria,0,1
Pipri,0,0
Pipurojori,0,7
Pirra,0,1
Pitambarpur,0,3
Pithauriya,0,3
Poal,0,2
Pobi,0,3
Pokhari Kalan,1,0
Pokharia,0,3
Pokhariya,0,1
Pokhri,0,0
Poklabera,0,2
Ponrdag,1,0
Pundag,1,0
Pundi,0,1
Punsia,0,1
Purana Chhihutiya,0,0
Purna Chuibasa,0,1
Purnadih,0,0
Purnapani,0,1
Purwari Kothia,1,0
Pusalota,0,2
Raghunathpur,1,8
Rahea,0,1
Rajapani,0,2
Rajapur,0,0
Rajganj Alias Rajbhita CT,1,0
Rajgramtanr,0,2
Rajhara,0,0
Rajmahal,1,22
Raksi,0,25
Ramgarh Nagar Parishad,19,1
Ramkanda,0,5
Rampur,0,5
Rampur Bansjori,0,2
Ranchi,192,77
Ranga,0,10
Rangamatia,0,0
Rangamatiya,0,1
Ranguni,1,0
Ranidi,0,0
Ranidih,0,5
Ranigram,0,7
Ranka Kalan,2,0
Raspal,0,1
Rasunpur,0,1
Ratan Pur,0,0
Ratanlallpur,0,0
Ratanpur,0,5
Ratari,1,0
Ratu CT,4,3
Raykanali,1,0
Redma CT,4,0
Rehe,0,0
