S.No.,District Code,District Name,Sub-District Code,Sub-District Name,Village Code,Village Version,Village Name ,Village Name,Village Category,Village Status,Census 2001 Code,Census 2011 Code,
204,646,Balod,3322,Daundi,931296,2,Jharandalli,झरनदल्ली,Rural,Inhabitant,,000000,
205,646,Balod,3322,Daundi,443262,1,Jhikatola,झीकाटोला,Rural,Inhabitant,01215200,443262,
206,646,Balod,3322,Daundi,443252,1,Junwani,जुनवानी,Rural,Inhabitant,01214200,443252,
207,646,Balod,3322,Daundi,443340,1,Kakarkasa,ककरकसा,Rural,Inhabitant,01223300,443340,
208,646,Balod,3322,Daundi,443253,1,Kakrel,काकरेल,Rural,Inhabitant,01214300,443253,
209,646,Balod,3322,Daundi,443297,1,Kamta,कामता,Rural,Inhabitant,01218800,443297,
210,646,Balod,3322,Daundi,443326,1,Kande,कांदे,Rural,Inhabitant,01221900,443326,
211,646,Balod,3322,Daundi,953889,1,Karutola,कारूटोला,Rural,Inhabitant,,000000,
212,646,Balod,3322,Daundi,443313,1,Katrel,कातरेल,Rural,Inhabitant,01220600,443313,
213,646,Balod,3322,Daundi,443343,2,Kesopur,केसोपुर,Rural,Inhabitant,01223800,443343,
214,646,Balod,3322,Daundi,443298,1,Khairwahi,खैरवाही,Rural,Inhabitant,01218900,443298,
215,646,Balod,3322,Daundi,443243,1,Khalari,खलारी,Rural,Inhabitant,01213300,443243,
216,646,Balod,3322,Daundi,443267,1,Khamur Tola,खामुर टोला,Rural,Inhabitant,01215700,443267,
217,646,Balod,3322,Daundi,443332,1,Khursitikur,खुर्सीटिकुर,Rural,Inhabitant,01222500,443332,
218,646,Balod,3322,Daundi,443327,1,Khursi Tikur,खुर्सी टिकुर,Rural,Inhabitant,01222000,443327,
219,646,Balod,3322,Daundi,443336,1,Kisanpuri,किसानपूरी,Rural,Inhabitant,01222900,443336,
220,646,Balod,3322,Daundi,443271,1,Kokan,कोकन,Rural,Inhabitant,01216200,443271,
221,646,Balod,3322,Daundi,443265,1,Kondekasa,कान्देकसा,Rural,Inhabitant,01215500,443265,
222,646,Balod,3322,Daundi,443305,1,Kopedera,कोपेडेरा,Rural,Inhabitant,01219600,443305,
223,646,Balod,3322,Daundi,443301,1,Kotagaon,कोटागाँव,Rural,Inhabitant,01219200,443301,
224,646,Balod,3322,Daundi,443306,1,Kumudkatta,कुमुदकट्टा,Rural,Inhabitant,01219700,443306,
225,646,Balod,3322,Daundi,443284,1,Kunjkanhar,कुंजकन्हार,Rural,Inhabitant,01217500,443284,
226,646,Balod,3322,Daundi,443258,1,Kurubhat,कुरुभाट,Rural,Inhabitant,01214800,443258,
227,646,Balod,3322,Daundi,443256,1,Kusumkasa,कुसुमकसा,Rural,Inhabitant,01214600,443256,
228,646,Balod,3322,Daundi,443310,1,Kusumtola,कुसुमटोला,Rural,Inhabitant,01220300,443310,
229,646,Balod,3322,Daundi,443325,1,Kuwagondi,कुवागोंडी,Rural,Inhabitant,01221800,443325,
230,646,Balod,3322,Daundi,443329,1,Limaudih,लिमुवडीह,Rural,Inhabitant,01222200,443329,
231,646,Balod,3322,Daundi,443282,1,Madiyakatta,मदियाकट्टा,Rural,Inhabitant,01217300,443282,
232,646,Balod,3322,Daundi,443321,1,Magardah,मगरडाह,Rural,Inhabitant,01221400,443321,
233,646,Balod,3322,Daundi,931301,1,Mahuljhappi,माहुलझप्पी,Urban,Inhabitant,,000000,
234,646,Balod,3322,Daundi,443300,1,Malkunwar,मालकुंवर,Rural,Inhabitant,01219100,443300,
235,646,Balod,3322,Daundi,443333,1,Mangal Tarai,मंगल तराई,Rural,Inhabitant,01222600,443333,
236,646,Balod,3322,Daundi,443323,1,Mardel,मारदेल,Rural,Inhabitant,01221600,443323,
237,646,Balod,3322,Daundi,443316,1,Markatola,मरकाटोला,Rural,Inhabitant,01220900,443316,
238,646,Balod,3322,Daundi,443328,1,Markatola Alias Surdongar,मरकाटोला अलियास सुरडोंगर,Rural,Inhabitant,01222100,443328,
239,646,Balod,3322,Daundi,443335,1,Mathena,मठेना,Rural,Inhabitant,01222800,443335,
240,646,Balod,3322,Daundi,443344,2,Murramkheda,मुर्रामखेड़ा,Rural,Inhabitant,01223900,443344,
241,646,Balod,3322,Daundi,443303,1,Nalkalan,नलकलन,Rural,Inhabitant,01219400,443303,
